Symbol,size,p,price,timestamp
ASH,0,"(90, 105]",97.54350051177066,3
ASH,1,"(0, 15]",13.006157325288033,191
ASH,1,"(15, 30]",21.0659249553826,1221
ASH,1,"(30, 45]",36.79251032229794,913
ASH,1,"(45, 60]",52.723818477729374,766
ASH,1,"(60, 75]",67.57401538501692,353
ASH,1,"(75, 90]",83.3337665334506,723
ASH,1,"(90, 105]",94.2068220705295,399
ASH,2,"(0, 15]",11.622706873474693,65
ASH,2,"(15, 30]",21.755719322188213,450
ASH,2,"(30, 45]",38.11936354331451,440
ASH,2,"(45, 60]",53.97776967618313,493
ASH,2,"(60, 75]",66.71037465305639,111
ASH,2,"(75, 90]",83.23562615256387,237
ASH,2,"(90, 105]",94.31944382636388,207
ASH,3,"(0, 15]",12.621517115887798,36
ASH,3,"(15, 30]",21.138747115868483,295
ASH,3,"(30, 45]",37.076058240044674,191
ASH,3,"(45, 60]",54.15491366361386,308
ASH,3,"(60, 75]",67.38037013472025,74
ASH,3,"(75, 90]",83.83322949579463,92
ASH,3,"(90, 105]",94.91995344989557,73
ASH,4,"(0, 15]",12.256908904810748,32
ASH,4,"(15, 30]",21.180369077006564,272
ASH,4,"(30, 45]",38.338673705758865,190
ASH,4,"(45, 60]",53.391647671730794,178
ASH,4,"(60, 75]",65.62800829331033,39
ASH,4,"(75, 90]",83.1791583785559,53
ASH,4,"(90, 105]",95.06663517308354,78
ASH,5,"(0, 15]",13.036685880515133,76
ASH,5,"(15, 30]",22.314265135145508,297
ASH,5,"(30, 45]",37.797627009670165,277
ASH,5,"(45, 60]",51.56683183417284,302
ASH,5,"(60, 75]",68.84723870254804,113
ASH,5,"(75, 90]",82.96149297930067,103
ASH,5,"(90, 105]",94.84640231825496,77
ASH,6,"(0, 15]",13.42619376084747,23
ASH,6,"(15, 30]",21.82392837459378,182
ASH,6,"(30, 45]",37.28757880966378,169
ASH,6,"(45, 60]",52.73955466290734,106
ASH,6,"(60, 75]",66.24123011072865,44
ASH,6,"(75, 90]",83.22854218452999,49
ASH,6,"(90, 105]",94.41920938338548,37
ASH,7,"(0, 15]",13.009211873080972,20
ASH,7,"(15, 30]",22.036650365821416,135
ASH,7,"(30, 45]",36.784574628213726,68
ASH,7,"(45, 60]",54.5548955134767,96
ASH,7,"(60, 75]",67.16479017400215,25
ASH,7,"(75, 90]",83.56559850930381,39
ASH,7,"(90, 105]",95.63367451381785,40
ASH,8,"(0, 15]",11.10542476970329,12
ASH,8,"(15, 30]",22.454452405322535,58
ASH,8,"(30, 45]",37.079462941778644,85
ASH,8,"(45, 60]",54.12186647048795,96
ASH,8,"(60, 75]",64.58546571136142,19
ASH,8,"(75, 90]",83.95850004652466,22
ASH,8,"(90, 105]",95.48591974385222,39
ASH,9,"(0, 15]",12.772978505629572,10
ASH,9,"(15, 30]",21.81659653512275,54
ASH,9,"(30, 45]",35.90660603721675,61
