Symbol,price,size,timestamp,exchange,conditions,id,tape
ASH,17.095310136157664,77,2,2,2,2,2
ASH,17.095310136157664,90,2,2,2,2,2
ASH,17.095310136157664,100,6,6,6,6,6
ASH,17.095310136157664,200,2,2,2,2,2
ASH,17.39788199697433,1,8,8,8,8,8
ASH,17.39788199697433,3,1,1,1,1,1
ASH,17.39788199697433,6,1,1,1,1,1
ASH,17.39788199697433,7,4,4,4,4,4
ASH,17.39788199697433,8,2,2,2,2,2
ASH,17.39788199697433,17,2,2,2,2,2
ASH,17.39788199697433,20,2,2,2,2,2
ASH,17.39788199697433,76,2,2,2,2,2
ASH,17.39788199697433,96,2,2,2,2,2
ASH,17.39788199697433,100,2,2,2,2,2
ASH,17.39788199697433,200,2,2,2,2,2
ASH,17.549167927383095,100,2,2,2,2,2
ASH,17.70045385779143,1,3,3,3,3,3
ASH,17.70045385779143,3,1,1,1,1,1
ASH,17.70045385779143,7,2,2,2,2,2
ASH,17.70045385779143,36,2,2,2,2,2
ASH,17.70045385779143,40,1,1,1,1,1
ASH,17.70045385779143,65,1,1,1,1,1
ASH,17.70045385779143,100,10,10,10,10,10
ASH,18.00302571860853,1,8,8,8,8,8
ASH,18.00302571860853,2,9,9,9,9,9
ASH,18.00302571860853,3,8,8,8,8,8
ASH,18.00302571860853,5,8,8,8,8,8
ASH,18.00302571860853,6,2,2,2,2,2
ASH,18.00302571860853,9,2,2,2,2,2
ASH,18.00302571860853,10,4,4,4,4,4
ASH,18.00302571860853,12,2,2,2,2,2
ASH,18.00302571860853,17,2,2,2,2,2
ASH,18.00302571860853,18,2,2,2,2,2
ASH,18.00302571860853,20,8,8,8,8,8
ASH,18.00302571860853,29,2,2,2,2,2
ASH,18.00302571860853,38,2,2,2,2,2
ASH,18.00302571860853,44,2,2,2,2,2
ASH,18.00302571860853,50,2,2,2,2,2
ASH,18.00302571860853,73,2,2,2,2,2
ASH,18.00302571860853,82,2,2,2,2,2
ASH,18.00302571860853,100,9,9,9,9,9
ASH,18.15431164901686,1,2,2,2,2,2
ASH,18.15431164901686,751,2,2,2,2,2
ASH,18.2571860816946,100,2,2,2,2,2
ASH,18.3055975794252,1,14,14,14,14,14
ASH,18.3055975794252,2,8,8,8,8,8
ASH,18.3055975794252,3,6,6,6,6,6
ASH,18.3055975794252,4,4,4,4,4,4
ASH,18.3055975794252,5,8,8,8,8,8
ASH,18.3055975794252,6,4,4,4,4,4
ASH,18.3055975794252,10,4,4,4,4,4
ASH,18.3055975794252,11,4,4,4,4,4
ASH,18.3055975794252,14,2,2,2,2,2
ASH,18.3055975794252,17,2,2,2,2,2
ASH,18.3055975794252,25,4,4,4,4,4
ASH,18.3055975794252,36,2,2,2,2,2
ASH,18.3055975794252,38,2,2,2,2,2
ASH,18.3055975794252,40,2,2,2,2,2
ASH,18.3055975794252,42,2,2,2,2,2
ASH,18.3055975794252,44,2,2,2,2,2
ASH,18.3055975794252,50,2,2,2,2,2
ASH,18.3055975794252,60,2,2,2,2,2
ASH,18.3055975794252,62,2,2,2,2,2
ASH,18.3055975794252,94,2,2,2,2,2
ASH,18.3055975794252,99,2,2,2,2,2
ASH,18.3055975794252,100,18,18,18,18,18
ASH,18.3055975794252,159,2,2,2,2,2
ASH,18.3055975794252,189,2,2,2,2,2
ASH,18.55068078668689,19,2,2,2,2,2
ASH,18.608169440242296,1,3,3,3,3,3
ASH,18.608169440242296,2,4,4,4,4,4
ASH,18.608169440242296,5,12,12,12,12,12
ASH,18.608169440242296,10,2,2,2,2,2
ASH,18.608169440242296,15,2,2,2,2,2
ASH,18.608169440242296,17,2,2,2,2,2
ASH,18.608169440242296,19,2,2,2,2,2
ASH,18.608169440242296,20,2,2,2,2,2
ASH,18.608169440242296,32,2,2,2,2,2
ASH,18.608169440242296,39,2,2,2,2,2
ASH,18.608169440242296,50,4,4,4,4,4
ASH,18.608169440242296,62,2,2,2,2,2
ASH,18.608169440242296,63,2,2,2,2,2
ASH,18.608169440242296,74,2,2,2,2,2
ASH,18.608169440242296,89,2,2,2,2,2
ASH,18.608169440242296,90,2,2,2,2,2
ASH,18.608169440242296,95,1,1,1,1,1
ASH,18.608169440242296,100,26,26,26,26,26
ASH,18.608169440242296,108,2,2,2,2,2
ASH,18.75945537065063,1,4,4,4,4,4
ASH,18.844175491679604,23,2,2,2,2,2
ASH,18.91074130105896,1,5,5,5,5,5
ASH,18.91074130105896,2,2,2,2,2,2
ASH,18.91074130105896,19,2,2,2,2,2
ASH,18.91074130105896,52,2,2,2,2,2
ASH,18.91074130105896,67,2,2,2,2,2
ASH,18.91074130105896,100,8,8,8,8,8
ASH,19.213313161876066,1,2,2,2,2,2
ASH,19.213313161876066,2,3,3,3,3,3
ASH,19.213313161876066,4,2,2,2,2,2
ASH,19.213313161876066,12,2,2,2,2,2
ASH,19.213313161876066,20,2,2,2,2,2
ASH,19.213313161876066,29,2,2,2,2,2
ASH,19.213313161876066,84,2,2,2,2,2
ASH,19.213313161876066,100,6,6,6,6,6
ASH,19.51588502269316,1,10,10,10,10,10
ASH,19.51588502269316,2,4,4,4,4,4
ASH,19.51588502269316,4,2,2,2,2,2
ASH,19.51588502269316,5,4,4,4,4,4
ASH,19.51588502269316,6,2,2,2,2,2
ASH,19.51588502269316,10,2,2,2,2,2
ASH,19.51588502269316,11,2,2,2,2,2
ASH,19.51588502269316,12,2,2,2,2,2
ASH,19.51588502269316,14,2,2,2,2,2
ASH,19.51588502269316,18,2,2,2,2,2
ASH,19.51588502269316,23,2,2,2,2,2
ASH,19.51588502269316,25,2,2,2,2,2
ASH,19.51588502269316,33,2,2,2,2,2
ASH,19.51588502269316,63,2,2,2,2,2
ASH,19.51588502269316,83,2,2,2,2,2
ASH,19.51588502269316,100,16,16,16,16,16
