Symbol,price,size,timestamp
LDOS,62.1,89,1
LDOS,62.5,43,1
LDOS,63.9,2,1
LDOS,64.1,21,1
LDOS,64.5,100,1
LDOS,64.6,40,1
LDOS,64.7,6,1
LDOS,65.0,30,1
NTRS,54.6,100,1
NTRS,54.9,7,1
NTRS,54.9,100,1
NTRS,55.2,7,1
NTRS,56.2,1,1
NTRS,56.2,4,1
NTRS,56.2,32,1
NTRS,56.5,1,1
NTRS,56.5,4,1
NTRS,56.5,32,1
NTRS,57.0,100,1
LDOS,63.8,52,1
LDOS,63.8,20,1
LDOS,63.8,6,1
LDOS,63.8,3,1
LDOS,62.5,80,1
LDOS,62.5,100,1
LDOS,62.7,3,1
LDOS,62.9,10,1
LDOS,63.0,4,1
LDOS,63.0,15,1
LDOS,63.0,40,1
LDOS,63.0,60,1
LDOS,62.5,5,1
LDOS,63.0,100,1
LDOS,63.2,10,1
LDOS,63.4,1,1
LDOS,63.4,2,1
LDOS,63.4,10,1
LDOS,63.4,20,1
LDOS,63.4,37,1
LDOS,63.6,1,1
LDOS,63.7,10,1
LDOS,63.2,7,1
LDOS,57.4,70,1
LDOS,61.4,3,1
LDOS,61.2,1602,1
LDOS,58.9,10,1
LDOS,58.9,100,1
LDOS,59.0,1,1
LDOS,59.0,39,1
LDOS,59.1,100,1
LDOS,59.2,20,1
LDOS,59.2,25,1
LDOS,59.2,30,1
LDOS,59.2,50,1
LDOS,59.4,1,1
LDOS,59.4,25,1
LDOS,59.4,75,1
LDOS,59.5,1,1
LDOS,59.6,1,1
LDOS,59.6,2,1
LDOS,59.6,6,1
LDOS,59.6,13,1
LDOS,58.9,9,1
LDOS,58.9,2,1
LDOS,58.8,2,1
LDOS,58.7,100,1
LDOS,57.6,100,1
LDOS,57.6,103,1
LDOS,57.7,1,1
LDOS,57.7,144,1
LDOS,57.8,2,1
LDOS,57.8,7,1
LDOS,57.8,10,1
LDOS,57.8,11,1
LDOS,59.6,15,1
LDOS,58.0,1,1
LDOS,58.3,10,1
LDOS,58.3,50,1
LDOS,58.4,10,1
LDOS,58.4,31,1
LDOS,58.4,100,1
LDOS,58.5,8,1
LDOS,58.5,300,1
LDOS,58.7,6,1
LDOS,58.0,100,1
LDOS,61.4,2,1
LDOS,59.6,25,1
LDOS,59.8,3,1
LDOS,60.7,57,1
LDOS,60.7,720,1
LDOS,60.9,1,1
LDOS,60.9,5,1
LDOS,60.9,6,1
LDOS,60.9,15,1
LDOS,60.9,18,1
LDOS,60.9,37,1
LDOS,60.9,50,1
LDOS,60.9,51,1
LDOS,60.9,112,1
LDOS,61.1,21,1
LDOS,61.1,26,1
LDOS,61.1,49,1
LDOS,61.1,100,1
LDOS,61.2,121,1
LDOS,61.2,475,1
LDOS,60.7,41,1
LDOS,60.7,37,1
LDOS,60.7,10,1
LDOS,60.7,6,1
LDOS,59.8,9,1
LDOS,59.8,10,1
LDOS,59.8,20,1
LDOS,59.8,25,1
LDOS,59.8,50,1
LDOS,60.0,2,1
LDOS,60.0,28,1
LDOS,60.0,72,1
LDOS,59.8,2,1
LDOS,60.0,98,1
LDOS,60.1,1,1
LDOS,60.3,1,1
LDOS,60.3,2,1
LDOS,60.3,3,1
LDOS,60.3,9,1
LDOS,60.3,21,1
LDOS,60.3,60,1
LDOS,60.6,1,1
LDOS,60.0,200,1
NTRS,57.2,20,1
LDOS,47.1,45,1
LDOS,47.1,2,1
LDOS,36.6,36,1
LDOS,36.6,90,1
LDOS,36.6,98,1
LDOS,36.6,109,1
LDOS,36.6,110,1
LDOS,36.6,149,1
LDOS,36.6,290,1
LDOS,36.8,10,1
LDOS,36.8,12,1
LDOS,36.8,88,1
LDOS,36.8,100,1
LDOS,36.8,300,1
LDOS,36.8,400,1
LDOS,36.9,9,1
LDOS,37.0,2,1
LDOS,37.0,17,1
LDOS,37.0,33,1
LDOS,36.6,20,1
LDOS,36.6,12,1
LDOS,36.6,11,1
LDOS,36.6,8,1
LDOS,36.1,7,1
LDOS,36.1,12,1
LDOS,36.1,18,1
LDOS,36.1,88,1
LDOS,36.2,6,1
LDOS,36.2,8,1
LDOS,36.2,19,1
LDOS,36.2,31,1
LDOS,37.0,40,1
LDOS,36.2,50,1
LDOS,36.4,10,1
LDOS,36.4,11,1
LDOS,36.4,57,1
LDOS,36.4,90,1
LDOS,36.4,100,1
LDOS,36.5,1,1
LDOS,36.5,200,1
LDOS,36.6,7,1
LDOS,36.2,69,1
LDOS,36.1,6,1
LDOS,37.0,50,1
LDOS,37.0,67,1
LDOS,37.9,85,1
LDOS,38.0,3,1
LDOS,38.0,6,1
LDOS,38.0,8,1
LDOS,38.0,13,1
LDOS,38.0,22,1
LDOS,38.0,98,1
LDOS,38.2,3,1
LDOS,38.2,7,1
LDOS,38.2,15,1
LDOS,38.2,23,1
LDOS,38.2,26,1
LDOS,38.2,59,1
LDOS,38.2,63,1
LDOS,38.2,134,1
LDOS,38.4,3,1
LDOS,38.4,4,1
LDOS,37.9,46,1
LDOS,37.9,20,1
LDOS,37.9,15,1
LDOS,37.9,14,1
LDOS,37.1,3,1
LDOS,37.1,5,1
LDOS,37.1,6,1
LDOS,37.1,11,1
LDOS,37.1,23,1
LDOS,37.2,1,1
LDOS,37.3,4,1
LDOS,37.5,98,1
LDOS,37.0,52,1
LDOS,37.5,270,1
LDOS,37.5,500,1
LDOS,37.5,700,1
LDOS,37.7,5,1
LDOS,37.7,44,1
LDOS,37.9,2,1
LDOS,37.9,3,1
LDOS,37.9,5,1
LDOS,37.9,7,1
LDOS,37.5,300,1
LDOS,38.4,17,1
LDOS,36.0,1,1
LDOS,35.9,99,1
LDOS,34.1,99,1
LDOS,34.1,200,1
LDOS,34.2,2,1
LDOS,34.2,3,1
LDOS,34.2,4,1
LDOS,34.4,6,1
LDOS,34.4,7,1
LDOS,34.4,9,1
LDOS,34.4,10,1
LDOS,34.6,2,1
LDOS,34.6,5,1
LDOS,34.6,7,1
LDOS,34.6,18,1
LDOS,34.6,20,1
LDOS,34.6,27,1
LDOS,34.6,82,1
LDOS,34.6,96,1
LDOS,34.1,84,1
LDOS,34.1,40,1
LDOS,34.1,4,1
LDOS,33.9,600,1
LDOS,33.2,2,1
LDOS,33.2,4,1
LDOS,33.2,26,1
LDOS,33.2,45,1
LDOS,33.3,3,1
LDOS,33.3,4,1
LDOS,33.3,10,1
LDOS,33.3,12,1
LDOS,34.6,99,1
LDOS,33.3,13,1
LDOS,33.3,90,1
LDOS,33.5,6,1
LDOS,33.5,7,1
LDOS,33.7,10,1
LDOS,33.7,43,1
LDOS,33.9,2,1
LDOS,33.9,4,1
LDOS,33.9,6,1
LDOS,33.3,33,1
LDOS,35.9,200,1
LDOS,34.6,201,1
LDOS,34.8,7,1
LDOS,35.4,1,1
LDOS,35.4,4,1
LDOS,35.4,7,1
LDOS,35.4,20,1
LDOS,35.4,45,1
LDOS,35.6,1,1
LDOS,35.6,10,1
LDOS,35.7,4,1
LDOS,35.7,10,1
LDOS,35.7,50,1
LDOS,35.7,51,1
LDOS,35.7,190,1
LDOS,35.7,200,1
LDOS,35.9,4,1
LDOS,35.9,5,1
LDOS,35.9,7,1
LDOS,35.9,8,1
LDOS,35.3,22,1
LDOS,35.3,14,1
LDOS,35.1,80,1
LDOS,35.1,69,1
LDOS,34.8,31,1
LDOS,34.8,60,1
LDOS,34.8,93,1
LDOS,34.8,95,1
LDOS,34.8,200,1
LDOS,34.8,300,1
LDOS,34.8,400,1
LDOS,35.0,4,1
LDOS,34.8,4,1
LDOS,35.0,7,1
LDOS,35.0,900,1
LDOS,35.1,1,1
LDOS,35.1,3,1
LDOS,35.1,8,1
LDOS,35.1,19,1
LDOS,35.1,20,1
LDOS,35.1,27,1
LDOS,35.1,50,1
LDOS,35.0,600,1
LDOS,47.1,6,1
LDOS,38.4,25,1
LDOS,38.4,52,1
LDOS,41.5,90,1
