Symbol,size,p,price,timestamp
ASH,19,"(45, 60]",54.40995562514646,35
ASH,19,"(60, 75]",67.28426746197012,40
ASH,19,"(75, 90]",83.17718837333913,25
ASH,19,"(90, 105]",95.98822927328558,12
ASH,20,"(0, 15]",7.956952165581022,151
ASH,20,"(15, 30]",21.111977116501443,266
ASH,20,"(30, 45]",37.33274387961432,226
ASH,20,"(45, 60]",54.3874913243128,302
ASH,20,"(60, 75]",66.52072441038844,141
ASH,20,"(75, 90]",81.93622174917249,81
ASH,20,"(90, 105]",95.03147912184328,49
ASH,21,"(0, 15]",7.076664912635376,30
ASH,21,"(15, 30]",20.3232148751924,34
ASH,21,"(30, 45]",37.41596079173759,17
ASH,21,"(45, 60]",54.38013270744367,20
ASH,21,"(60, 75]",66.82182523187345,29
ASH,21,"(75, 90]",83.2518018928565,24
ASH,21,"(90, 105]",95.8375980893893,3
ASH,22,"(0, 15]",7.079414838035556,36
ASH,22,"(15, 30]",23.119152738695394,38
ASH,22,"(30, 45]",37.13056565857516,33
ASH,22,"(45, 60]",54.157943552139166,31
ASH,22,"(60, 75]",67.33828839544788,42
ASH,22,"(75, 90]",82.59218581959007,22
ASH,22,"(90, 105]",96.72466734902765,10
ASH,23,"(0, 15]",10.331726119480932,33
ASH,23,"(15, 30]",21.26469134931008,34
ASH,23,"(30, 45]",35.86251233485596,11
ASH,23,"(45, 60]",54.64367316977349,18
ASH,23,"(60, 75]",65.32154624765153,22
ASH,23,"(75, 90]",82.04996261988113,8
ASH,23,"(90, 105]",94.52027399417369,13
ASH,24,"(0, 15]",9.037252233525175,35
ASH,24,"(15, 30]",21.687240207620455,29
ASH,24,"(30, 45]",35.64247657396169,17
ASH,24,"(45, 60]",54.27639999670777,23
ASH,24,"(60, 75]",66.1854150155777,22
ASH,24,"(75, 90]",81.53333018585545,14
ASH,24,"(90, 105]",93.77686796315254,5
ASH,25,"(0, 15]",8.993421554485149,93
ASH,25,"(15, 30]",22.374658153557466,107
ASH,25,"(30, 45]",37.75897709213098,71
ASH,25,"(45, 60]",54.177858933465004,41
ASH,25,"(60, 75]",66.4081125067198,44
ASH,25,"(75, 90]",80.69966197463283,20
ASH,25,"(90, 105]",95.36808125344463,13
ASH,26,"(0, 15]",8.59535470125771,31
ASH,26,"(15, 30]",22.611307933621124,31
ASH,26,"(30, 45]",36.1389510883342,23
ASH,26,"(45, 60]",55.139743431664535,14
ASH,26,"(60, 75]",69.03329694423755,47
ASH,26,"(75, 90]",80.50191188442756,11
ASH,26,"(90, 105]",95.82395087001026,10
ASH,27,"(0, 15]",8.77451086369046,29
ASH,27,"(15, 30]",23.7748263209049,23
ASH,27,"(30, 45]",34.59169655389617,13
ASH,27,"(45, 60]",52.26400417545026,24
ASH,27,"(60, 75]",67.17578544190941,22
ASH,27,"(75, 90]",81.70987649510926,21
ASH,27,"(90, 105]",94.65711361310134,10
ASH,28,"(0, 15]",7.3397773782484785,27
ASH,28,"(15, 30]",20.22707795373955,27
ASH,28,"(30, 45]",37.18386755657794,21
ASH,28,"(45, 60]",55.6408230471161,30
ASH,28,"(60, 75]",65.78710762131097,31
ASH,28,"(75, 90]",83.6834173093659,9
ASH,28,"(90, 105]",95.75230296827027,8
ASH,29,"(0, 15]",7.6784631385274436,35
ASH,29,"(15, 30]",21.088603592786075,26
ASH,29,"(30, 45]",35.48891127774415,18
ASH,29,"(45, 60]",54.27456900562467,6
ASH,29,"(60, 75]",68.70429186103487,14
ASH,29,"(75, 90]",81.08302608232206,19
ASH,29,"(90, 105]",97.72262026612076,4
ASH,30,"(0, 15]",8.505523416140079,72
ASH,30,"(15, 30]",21.402008209210194,142
ASH,30,"(30, 45]",37.8406117003188,101
ASH,30,"(45, 60]",53.086932655810045,91
ASH,30,"(60, 75]",67.21317973993747,59
ASH,30,"(75, 90]",83.34585363036358,50
ASH,30,"(90, 105]",95.35507140420141,21
ASH,31,"(0, 15]",9.259877003403176,43
ASH,31,"(15, 30]",21.83925425860635,14
ASH,31,"(30, 45]",38.10365683446547,11
ASH,31,"(45, 60]",55.387931034482826,20
ASH,31,"(60, 75]",67.1589859965141,19
ASH,31,"(75, 90]",83.4732164019414,23
ASH,31,"(90, 105]",93.6540429887411,6
ASH,32,"(0, 15]",7.573460140255075,13
ASH,32,"(15, 30]",19.749138938176497,18
ASH,32,"(30, 45]",36.06042424028529,20
ASH,32,"(45, 60]",54.50120063115514,13
ASH,32,"(60, 75]",67.31830899517628,22
ASH,32,"(75, 90]",82.2550318773804,18
ASH,32,"(90, 105]",94.03541453428866,10
ASH,33,"(0, 15]",8.760512985566816,29
ASH,33,"(15, 30]",21.780760878826882,54
ASH,33,"(30, 45]",36.36685735437441,44
ASH,33,"(45, 60]",55.61866579637384,42
ASH,33,"(60, 75]",67.17469406197907,57
ASH,33,"(75, 90]",83.19609104555052,51
ASH,33,"(90, 105]",94.73729102695329,12
ASH,34,"(0, 15]",8.60861812278011,22
ASH,34,"(15, 30]",21.32133912805401,30
ASH,34,"(30, 45]",35.193995758238955,20
ASH,34,"(45, 60]",54.116365032102024,20
ASH,34,"(60, 75]",66.84666253730353,22
ASH,34,"(75, 90]",82.22752072484269,12
ASH,34,"(90, 105]",95.80348004094162,4
ASH,35,"(0, 15]",9.437975817286187,14
ASH,35,"(15, 30]",21.03922185180798,25
ASH,35,"(30, 45]",36.88609170803084,10
ASH,35,"(45, 60]",53.9827473906111,8
ASH,35,"(60, 75]",68.10552769152281,13
ASH,35,"(75, 90]",83.0179587790547,23
ASH,35,"(90, 105]",94.65897459756212,11
ASH,36,"(0, 15]",9.49923168126559,23
ASH,36,"(15, 30]",21.573533663675974,9
ASH,36,"(30, 45]",35.2780620948483,12
ASH,36,"(45, 60]",49.93101523119525,9
ASH,36,"(60, 75]",64.92163009404386,5
ASH,36,"(75, 90]",83.0581773078155,14
ASH,36,"(90, 105]",96.1397865184969,7
ASH,37,"(0, 15]",8.561273371741775,21
ASH,37,"(15, 30]",19.845529733504957,18
ASH,37,"(30, 45]",37.878924000953305,11
ASH,37,"(45, 60]",52.08744100197976,8
ASH,37,"(60, 75]",66.09053689401694,10
ASH,37,"(75, 90]",83.06406895613826,13
ASH,37,"(90, 105]",95.21494370522007,8
ASH,38,"(0, 15]",9.51475097568,12
ASH,38,"(15, 30]",21.265874209791296,13
ASH,38,"(30, 45]",37.61856021835562,15
ASH,38,"(45, 60]",54.383677241122676,20
ASH,38,"(60, 75]",66.24783820986127,7
ASH,38,"(75, 90]",82.48669107337099,15
ASH,38,"(90, 105]",96.92937563971344,4
ASH,39,"(0, 15]",11.581043667358731,32
ASH,39,"(15, 30]",20.210435630793622,20
ASH,39,"(30, 45]",34.96653436564494,12
ASH,39,"(45, 60]",53.838670065331584,14
ASH,39,"(60, 75]",67.43848592641959,28
ASH,39,"(75, 90]",83.97518737716513,17
ASH,39,"(90, 105]",92.93756397134092,8
ASH,40,"(0, 15]",9.413017042237291,23
ASH,40,"(15, 30]",20.935842306064398,63
ASH,40,"(30, 45]",37.49715026199863,38
ASH,40,"(45, 60]",55.00649467151874,84
ASH,40,"(60, 75]",66.35526936810967,41
ASH,40,"(75, 90]",81.43161142804884,32
ASH,40,"(90, 105]",95.4181467878861,17
ASH,41,"(0, 15]",11.82514803204455,9
ASH,41,"(15, 30]",23.038468587205255,17
ASH,41,"(30, 45]",35.09715087557185,6
ASH,41,"(45, 60]",54.965990138756936,13
ASH,41,"(60, 75]",67.57670654171038,11
ASH,41,"(75, 90]",82.001346692696,21
ASH,41,"(90, 105]",95.70112589559878,2
ASH,42,"(0, 15]",8.6352887574079,22
ASH,42,"(15, 30]",19.751269801035207,10
ASH,42,"(30, 45]",33.975608269188264,5
ASH,42,"(45, 60]",53.99181166837264,4
ASH,42,"(60, 75]",67.1261907894103,7
ASH,42,"(75, 90]",80.19347821204312,5
ASH,42,"(90, 105]",96.02524735585132,6
ASH,43,"(0, 15]",9.177632800263718,14
ASH,43,"(15, 30]",25.16306341571938,12
ASH,43,"(30, 45]",37.871961261041676,16
ASH,43,"(45, 60]",56.99573738300673,8
ASH,43,"(60, 75]",69.15085729253593,11
ASH,43,"(75, 90]",81.25807362439562,10
ASH,43,"(90, 105]",96.17195496417611,10
ASH,44,"(0, 15]",8.270087268406463,24
ASH,44,"(15, 30]",22.899690565994632,23
ASH,44,"(30, 45]",37.359263050153615,10
ASH,44,"(45, 60]",55.55481984766186,11
ASH,44,"(60, 75]",65.05167440472559,12
ASH,44,"(75, 90]",82.3839772446521,4
ASH,44,"(90, 105]",95.9058341862846,6
ASH,45,"(0, 15]",7.781670661995271,17
ASH,45,"(15, 30]",21.016015963824252,36
ASH,45,"(30, 45]",35.970074010936884,17
ASH,45,"(45, 60]",55.25076765609014,25
ASH,45,"(60, 75]",66.99333494832555,8
ASH,45,"(75, 90]",82.39918391706063,7
ASH,45,"(90, 105]",94.7458205390652,3
ASH,46,"(0, 15]",8.359456635318736,9
ASH,46,"(15, 30]",24.10242794300264,10
ASH,46,"(30, 45]",39.199231220902085,3
ASH,46,"(45, 60]",55.17397798262878,12
ASH,46,"(60, 75]",66.80016118808979,11
ASH,46,"(75, 90]",80.99760189692067,10
ASH,46,"(90, 105]",91.94814056635967,3
ASH,47,"(0, 15]",9.097064524992202,19
ASH,47,"(15, 30]",22.94040974731348,13
ASH,47,"(30, 45]",36.61310133060396,12
ASH,47,"(45, 60]",52.26637571526126,11
ASH,47,"(60, 75]",66.39725378916431,13
ASH,47,"(75, 90]",81.36924119379528,11
ASH,47,"(90, 105]",94.7799385875128,3
ASH,48,"(0, 15]",6.846679965802283,11
ASH,48,"(15, 30]",21.952076441541152,21
ASH,48,"(30, 45]",36.956285047203856,15
ASH,48,"(45, 60]",54.25040141801521,7
ASH,48,"(60, 75]",67.98761230651603,14
ASH,48,"(75, 90]",82.60573119042047,9
ASH,48,"(90, 105]",93.5406345957011,5
ASH,49,"(0, 15]",10.32779912002029,14
ASH,49,"(15, 30]",21.123617497104348,11
ASH,49,"(45, 60]",58.95598771750255,2
ASH,49,"(60, 75]",69.87745692348102,14
ASH,49,"(75, 90]",83.08830371266397,5
ASH,49,"(90, 105]",94.91641078130334,6
ASH,50,"(0, 15]",8.410000989202741,94
ASH,50,"(15, 30]",24.628746984494775,70
ASH,50,"(30, 45]",37.92863599333856,49
ASH,50,"(45, 60]",53.05457167588784,54
